,symbol,stock_val_10,stock_val_11,stock_val_12,stock_val_13,stock_val_14,stock_val_15,stock_val_16,rating,After Tax ROE,Capital Expenditures,Cost of Revenue,Depreciation,Earnings Before Tax,Fixed Assets,Goodwill,Gross Margin,Gross Profit,Investments,Liabilities,Long-Term Debt,Long-Term Investments,Net Borrowings,Net Income,Total Assets,Total Liabilities & Equity,Total Revenue,For Year,Estimated Shares Outstanding
132,EMR,72908898.4494,131896290.00000001,160903068.9618,116905844.00000001,137355423.0,158628201.633,108205175.0,4,22.0,-447000000.0,8260000000.0,568000000.0,2316000000.0,6761000000.0,3909000000.0,43.0,6262000000.0,0.0,-123000000.0,4062000000.0,0.0,-198000000.0,1664000000.0,21743000000.0,21743000000.0,14522000000.0,2016,657707509.881
133,EOG,93347896.0848,126575501.5698,215114912.7809,177054411.7804,306519444.0,220326799.11240003,220216015.6436,3,35.0,-5013163000.0,2177757000.0,3313644000.0,-6921556000.0,24210721000.0,0.0,75.0,6579671000.0,0.0,-1463656000.0,6653685000.0,0.0,737836000.0,-4524515000.0,26975244000.0,26975244000.0,8757428000.0,2015,545779855.247
134,EQIX,36152574.8898,26120640.5152,165083717.5982,114366523.0665,79582228.596,122260317.5742,178883707.002,2,7.0,-906402000.0,1291506000.0,541630000.0,210998000.0,5606436000.0,1063200000.0,53.0,1434361000.0,514108000.0,126114000.0,5564542000.0,4584000.0,1553175000.0,187774000.0,10356695000.0,10356695000.0,2725867000.0,2015,57776615.3846
135,EQR,67436296.2981,72593485.7271,73512321.4056,86954866.3236,105777210.1104,127639389.7424,98728241.534,5,8.0,-1171337000.0,905168000.0,788661000.0,893513000.0,20276946000.0,0.0,67.0,1839797000.0,-11882000.0,6283000.0,10581222000.0,2249236000.0,102120000.0,870120000.0,23157328000.0,23157328000.0,2744965000.0,2015,367139240.506
136,EQT,24778584.000000004,35520357.6483,103574778.0,66778363.2562,75927096.991,61648939.1826,81233342.4842,3,2.0,-2434018000.0,523043000.0,819216000.0,426561000.0,11472021000.0,0.0,73.0,1430957000.0,0.0,-37623000.0,2793343000.0,77025000.0,129996000.0,85171000.0,13976172000.0,13976172000.0,1954000000.0,2015,152091071.429
137,ES,27423175.1398,34475706.0,64536715.3028,65831668.447000004,105188208.0,106205172.0,79906764.0,5,8.0,-1724139000.0,4416194000.0,688195000.0,1425971000.0,19892441000.0,3519401000.0,44.0,3538633000.0,82051000.0,-61336000.0,8805574000.0,516478000.0,766178000.0,878485000.0,30580309000.0,30580309000.0,7954827000.0,2015,317142599.278
138,ESS,13283786.1163,25530666.0915,21689534.1126,49984531.2585,51980561.5096,81112109.3552,102672000.0,4,4.0,-830249000.0,363508000.0,421673000.0,232492000.0,10650782000.0,0.0,70.0,830899000.0,-115402000.0,-7746000.0,2256030000.0,1173532000.0,148504000.0,232120000.0,12005091000.0,12005091000.0,1194407000.0,2015,66320000.0
139,ETFC,27828800.0,35109968.0,34634710.0,35605354.1871,44978040.0,62543361.8899,55003413.1748,4,5.0,-70000000.0,0.0,325000000.0,91000000.0,236000000.0,1792000000.0,100.0,1403000000.0,-29000000.0,-58000000.0,0.0,25602000000.0,-4850000000.0,268000000.0,45427000000.0,45427000000.0,1403000000.0,2015,291304347.826
140,ETN,72691312.4322,74980423.27749999,141902838.0,207244320.16779998,82720910.78279999,108253610.08019999,84654156.9528,4,13.0,-506000000.0,14292000000.0,925000000.0,2145000000.0,3565000000.0,13479000000.0,31.0,6563000000.0,37000000.0,-233000000.0,7781000000.0,0.0,-602000000.0,1979000000.0,31031000000.0,30986000000.0,20855000000.0,2015,465647058.824
141,ETR,43114222.2174,57446522.3592,64808250.0,61106166.0,136844968.6929,59965392.8772,71317329.9707,3,2.0,-2500860000.0,7449273000.0,2117236000.0,-799661000.0,28044360000.0,377172000.0,35.0,4063978000.0,-58211000.0,-520388000.0,13138557000.0,5822998000.0,-63376000.0,-156734000.0,44647681000.0,44647681000.0,11513251000.0,2015,158317171.717
